LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244949.977491,324889.000,46795,2,EL,1,100,-18906.000000
1729244950.044491,324956.000,46795,2,EL,1,100,-18906.000000
1729244950.110491,325022.000,46811,1,EL,1,100,-18906.199219
1729244950.177490,325089.000,46829,2,EL,1,100,-18906.000000
1729244950.244490,325156.000,46829,2,EL,1,100,-18906.000000
1729244950.310489,325222.000,46845,1,EL,1,100,-18906.000000
1729244950.377489,325289.000,46862,2,EL,1,100,-18906.000000
1729244950.444489,325356.000,46862,2,EL,1,100,-18906.000000
1729244950.510489,325422.000,46879,1,EL,1,100,-18905.800781
1729244950.577488,325489.000,46896,2,EL,1,100,-18906.000000
1729244950.644488,325556.000,46896,2,EL,1,100,-18906.000000
1729244950.710488,325622.000,46912,1,EL,1,100,-18906.000000
1729244950.777487,325689.000,46929,2,EL,1,100,-18906.000000
1729244950.844487,325756.000,46929,2,EL,1,100,-18906.000000
1729244950.910987,325822.500,46944,2,EL,1,100,-18906.000000
1729244950.977486,325889.000,46944,2,EL,1,100,-18906.000000
1729244951.044486,325956.000,46961,1,EL,1,100,-18906.199219
1729244951.110986,326022.500,46978,2,EL,1,100,-18906.400391
1729244951.177485,326089.000,46978,2,EL,1,100,-18907.000000
1729244951.244485,326156.000,46995,1,EL,1,100,-18906.599609
1729244951.310985,326222.500,47009,2,EL,1,100,-18907.000000
1729244951.377484,326289.000,47009,2,EL,1,100,-18907.000000
1729244951.444484,326356.000,47026,1,EL,1,100,-18907.000000
1729244951.510984,326422.500,47043,2,EL,1,100,-18907.000000
1729244951.577483,326489.000,47043,2,EL,1,100,-18907.000000
1729244951.644483,326556.000,47062,1,EL,1,100,-18906.599609
1729244951.710983,326622.500,47076,2,EL,1,100,-18906.800781
1729244951.777483,326689.000,47076,2,EL,1,100,-18906.800781
1729244951.844482,326756.000,47094,1,EL,1,100,-18907.000000
1729244951.910982,326822.500,47110,2,EL,1,100,-18906.599609
1729244951.977481,326889.000,47110,2,EL,1,100,-18906.400391
1729244952.044481,326956.000,47127,1,EL,1,100,-18907.000000
1729244952.110981,327022.500,47142,2,EL,1,100,-18907.000000
1729244952.177480,327089.000,47142,2,EL,1,100,-18907.000000
1729244952.244480,327156.000,47159,1,EL,1,100,-18907.000000
1729244952.310980,327222.500,47175,2,EL,1,100,-18907.199219
1729244952.377480,327289.000,47175,2,EL,1,100,-18907.199219
1729244952.444479,327356.000,47194,1,EL,1,100,-18907.800781
1729244952.510812,327422.333,47211,3,EL,1,100,-18908.000000
1729244952.577145,327488.667,47211,3,EL,1,100,-18908.000000
1729244952.643478,327555.000,47211,3,EL,1,100,-18908.000000
1729244952.710478,327622.000,47228,1,EL,1,100,-18908.199219
1729244952.776978,327688.500,47244,2,EL,1,100,-18908.000000
1729244952.843477,327755.000,47244,2,EL,1,100,-18908.400391
1729244952.910477,327822.000,47260,2,EL,1,100,-18909.000000
